EventID,Time,Latitude,Longitude,Depth/km,MagType,Magnitude,EventLocationName
20150205.2042001,2015-02-05T20:42:51.000Z,48.4694,-123.2664,21.47,ML,1.5,"8 km ENE of Victoria, BC/8 km ENE de Victoria, BC"
20150129.0528001,2015-01-29T05:28:01.000Z,48.4681,-123.254,21.2,ML,0.300001,"9 km ENE of Victoria, BC/9 km ENE de Victoria, BC"
20150117.1024001,2015-01-17T10:24:19.000Z,48.4738,-123.2565,21.14,ML,0.900001,"9 km ENE of Victoria, BC/9 km ENE de Victoria, BC"
20141210.1333003,2014-12-10T13:33:22.000Z,48.448,-123.4645,40.95,ML,1.6,"7 km W   of Victoria, BC/7 km O   de Victoria, BC"
20141124.0202001,2014-11-24T02:02:26.000Z,48.3918,-123.3979,24.09,ML,0.900001,"5 km SW  of Victoria, BC/5 km SO  de Victoria, BC"
20141101.1643004,2014-11-01T16:43:38.000Z,48.4093,-123.3947,10.01,ML,1.1,"3 km SW  of Victoria, BC/3 km SO  de Victoria, BC"
20140929.0548001,2014-09-29T05:48:05.000Z,48.4706,-123.3045,21.73,ML,0.500001,"6 km ENE of Victoria, BC/6 km ENE de Victoria, BC"
20140918.1905004,2014-09-18T19:05:39.000Z,48.461,-123.282,21.94,ML,0.000001,"7 km ENE of Victoria, BC/7 km ENE de Victoria, BC"
20140918.1504003,2014-09-18T15:04:51.000Z,48.4675,-123.2608,21.2,ML,1,"8 km ENE of Victoria, BC/8 km ENE de Victoria, BC"
20140724.1307004,2014-07-24T13:07:29.000Z,48.4587,-123.2817,22.13,ML,0.800001,"6 km ENE of Victoria, BC/6 km ENE de Victoria, BC"
20140705.2309006,2014-07-05T23:09:53.000Z,48.466,-123.2734,22.31,ML,1.1,"7 km ENE of Victoria, BC/7 km ENE de Victoria, BC"
20140602.0418001,2014-06-02T04:18:51.000Z,48.4668,-123.2694,21.84,ML,0.500001,"8 km ENE of Victoria, BC/8 km ENE de Victoria, BC"
20140602.0408004,2014-06-02T04:08:48.000Z,48.4643,-123.2735,21.81,ML,1.2,"7 km ENE of Victoria, BC/7 km ENE de Victoria, BC"
20140520.1125001,2014-05-20T11:25:01.000Z,48.3979,-123.3417,11.29,ML,0.400001,"4 km SE  of Victoria, BC/4 km SE  de Victoria, BC"
20131227.1323006,2013-12-27T13:23:23.000Z,48.4424,-123.2516,49.01,ML,1,"8 km E   of Victoria, BC/8 km E   de Victoria, BC"
20131226.0208002,2013-12-26T02:08:35.000Z,48.4679,-123.2796,22.55,ML,0.700001,"7 km ENE of Victoria, BC/7 km ENE de Victoria, BC"
20131221.1839004,2013-12-21T18:39:48.000Z,48.475,-123.4753,25.39,ML,1.3,"9 km WNW of Victoria, BC/9 km ONO de Victoria, BC"
20131107.2339002,2013-11-07T23:39:08.000Z,48.4817,-123.3774,21.52,ML,1.2,"5 km NNW of Victoria, BC/5 km NNO de Victoria, BC"
20130728.1051003,2013-07-28T10:51:52.000Z,48.4056,-123.4762,39,ML,0.700001,"8 km WSW of Victoria, BC/8 km OSO de Victoria, BC"
20130718.1317002,2013-07-18T13:17:24.000Z,48.4553,-123.3433,14.47,ML,0.400001,"3 km NE  of Victoria, BC/3 km NE  de Victoria, BC"
20130331.2207002,2013-03-31T22:07:27.000Z,48.4388,-123.4702,18.01,ML,1,"7 km W   of Victoria, BC/7 km O   de Victoria, BC"
20121213.1035002,2012-12-13T10:35:05.000Z,48.4111,-123.3007,42.85,ML,1.5,"5 km ESE of Victoria, BC/5 km ESE de Victoria, BC"
20121127.1238006,2012-11-27T12:38:26.000Z,48.3579,-123.3544,23.61,ML,0.900001,"8 km S   of Victoria, BC/8 km S   de Victoria, BC"
20120809.0821002,2012-08-09T08:21:59.000Z,48.4626,-123.4542,19.91,ML,0.300001,"7 km WNW of Victoria, BC/7 km ONO de Victoria, BC"
20120726.0055004,2012-07-26T00:55:50.000Z,48.4994,-123.2884,26.11,ML,2.2,"9 km NE  of Victoria, BC/9 km NE  de Victoria, BC"
20120718.1532002,2012-07-18T15:32:25.000Z,48.4938,-123.2847,25.02,ML,0.900001,"9 km NE  of Victoria, BC/9 km NE  de Victoria, BC"
